name,team,position,games_played,metric1_giveaway_rate,metric3_dzone_giveaway_rate,metric2_above_expected,total_giveaways,I_F_dZoneShiftStarts,confidence_dzone,metric3_dzone_giveaway_weighted,icetime_minutes,confidence,metric1_weighted,metric2_weighted,metric1_z,metric2_z,metric3_z,composite_score
Teddy Blueger,VAN,C,35,3.1368343443144875,0.08333333333333333,-0.0034155684007382,26.0,96.0,0.7360655737704918,0.08897666810468795,497.31666666666666,0.5254554317800205,3.031289141473339,-0.0013314809343715444,-0.2134893876949139,-0.48874712548804694,0.38945171947541596,-0.3127847937075449
William Nylander,TOR,R,65,3.3588803732089305,0.11607142857142858,-0.0055792993175692,56.0,112.0,0.8278688524590163,0.11411661839023789,1000.3333333333334,0.9068933143156335,3.317498202970244,-0.0049689389687084555,-0.7364173617704952,-1.259131360324604,-0.17582535002283398,-2.171374072117933
Reilly Smith,VGK,R,69,4.007792930698581,0.20430107526881722,0.0041285601227121,56.0,93.0,0.7188524590163934,0.1763026704287159,838.3666666666667,0.7840738801523823,3.7717053000790877,0.003447882153257673,-1.5662918453372818,0.5234833773830381,-1.5740918088145825,-2.6169002767688263
Nic Dowd,VGK,C,75,2.536104262064107,0.05263157894736842,0.0013623032949258,38.0,209.0,1.0,0.05263157894736842,899.0166666666667,0.8300648166537272,2.6003935295659586,0.001296689910906806,0.5737930561043755,0.0678782339103886,1.2066786931226623,1.8483499831374264
Michael Misa,SJS,C,45,2.914224654340576,0.05,-0.0025560552108278,25.0,60.0,0.5295081967213114,0.07574291774518263,514.7166666666667,0.5386498636864245,2.914315084444384,-0.0009264510949196648,0.00023203098286037557,-0.4029650765938413,0.6870153795751096,0.2842823339641287
Blake Lizotte,PIT,C,55,2.8516798688882816,0.04522613065326633,0.0022641340001111,29.0,199.0,1.0,0.04522613065326633,610.1666666666666,0.6110296640005777,2.8760841779043353,0.001763163934195255,0.07008310557672612,0.1666736647057056,1.3731917554980069,1.6099485257804387
Charlie Coyle,CBJ,C,82,2.5790375330945334,0.06048387096774194,-0.0090232770162559,46.0,248.0,1.0,0.06048387096774194,1070.1666666666667,0.9598479787675807,2.592503843776479,-0.008621778003576754,0.5882081741457377,-2.0327731668536835,1.0301182555838282,-0.4144467371241176
Dawson Mercer,NJD,C,82,3.58417841243653,0.10824742268041238,-0.0067818260332362,70.0,194.0,1.0,0.10824742268041238,1171.8166666666666,1.0,3.58417841243653,-0.0067818260332362,-1.2236644843210325,-1.6430861993543537,-0.04385525010307231,-2.9106059337784584
Aatu Rty,VAN,C,66,2.343205169928867,0.04712041884816754,0.0118052782962287,28.0,191.0,1.0,0.04712041884816754,716.9666666666667,0.6920161770812645,2.519130302184708,0.008470095823716496,0.722267792155946,1.5871476723877287,1.3305982870369988,3.6400137515806734
Anthony Mantha,PIT,R,81,4.28642301967918,0.42,-0.0056679985202003,72.0,50.0,0.4721311475409836,0.2535708225481737,1007.8333333333334,0.9125805694477043,4.1664833552227085,-0.005087166906251632,-2.287584481936715,-1.2841710826638633,-3.311482459930448,-6.8832380245310265
