player_name,total_giveaways,mean_above_expected
Dylan Cozens,43,0.007930862599878241
Dylan DeMelo,79,0.00521246790122974
Dylan Duke,1,0.026099512830990445
Dylan Guenther,61,-0.0038215755347321455
Dylan Holloway,31,-0.003256602164301593
Dylan Larkin,55,0.0025074045264684595
Dylan McIlrath,7,0.018431005415045467
Dylan Samberg,59,-0.003978003520533859
Dylan Strome,58,-0.004497269839620437
Easton Cowan,66,-0.009001593909466305
Eeli Tolvanen,43,-0.0009862528467856273
Eetu Luostarinen,40,0.006624253115052445
Egor Chinakhov,34,-0.005210350719133546
Egor Zamula,27,0.008480072654611218
Elias Lindholm,44,0.0025456919548791064
Elias Pettersson,118,0.0020500282422621454
Elias Salomonsson,31,-0.001410262143198972
Elmer Soderblom,46,-0.006275334653880424
Emil Andrae,45,0.0074975070852371295
Emil Heineman,45,-0.002085408661581879
Emil Lilleberg,41,0.005884471797688926
Emmitt Finnie,67,1.479716819084833e-07
Eric Robinson,27,0.004047221454770046
Erik Cernak,47,0.010490038492962891
Erik Gudbranson,29,-0.0024102509351656334
Erik Gustafsson,2,0.012970880448424284
Erik Haula,46,0.006668169989641197
Erik Karlsson,84,-0.0011889843608186817
Esa Lindell,97,0.0027760574286677443
Ethan Cardwell,5,-0.0015259968662450665
Ethan Del Mastro,16,0.00841143114054507
Ethen Frank,25,0.0033578317958878248
Evan Bouchard,95,-0.003016815552592703
Evan Rodrigues,44,0.002219702495239774
Evander Kane,69,-0.0016563272871993268
Evgeni Malkin,74,-0.003578004161468056
Evgenii Dadonov,15,0.0036194398043777162
Fabian Zetterlund,33,0.002960422577989007
Fedor Svechkov,46,0.003447858569667785
Felix Unger Sorum,3,0.008421698722061147
Filip Chytil,11,-0.0029908549572025102
Filip Forsberg,81,-0.0006158898774224425
Filip Hallander,12,-0.02598805188255536
Filip Hronek,92,0.00022939262178290154
Florian Xhekaj,4,0.005792064693996244
Frank Nazar,58,0.0017155274877158288
Frank Vatrano,16,0.010603917832463195
Fraser Minten,36,-0.002317625611197892
Frederick Gaudreau,36,0.010004497771781449
Gabe Perreault,35,0.0015985177636374398
Gabriel Landeskog,39,-0.003765847165977966
Gabriel Vilardi,55,-0.0025435964629578413
Gage Goncalves,55,0.0015842819168664626
Garnet Hathaway,31,0.0015305320033604697
Garrett Wilson,1,0.01122516901396112
Gavin Brindley,14,0.00978706392883792
Gustav Forsling,51,-0.016903642087639663
Gustav Nyquist,22,-0.00030390650492650366
Hampus Lindholm,66,0.0013704351791273273
Harrison Brunicke,14,0.016631707778685684
Hayden Hodgson,3,0.008693269319476709
Haydn Fleury,25,0.0009390363655244254
Hendrix Lapierre,32,0.0013731982644699325
Henri Jokiharju,45,-0.010500085534447194
Henry Thrun,1,0.013958015053643458
Hugh McGing,2,0.00863947876843054
Hunter Brzustewicz,25,0.00499009522337342
Hunter Haight,4,0.019072297509421614
Ian Cole,83,0.009916083701289788
Ian Moore,40,-0.016160530774097553
Igor Chernyshov,24,0.0039132291405691265
Ilya Lyubushkin,43,0.004851199679647539
Ilya Mikheyev,53,-0.013263674281212596
Ilya Protas,1,0.02668513615909077
Ilya Solovyov,19,0.013447733900541249
Isaac Howard,17,0.013653693471060034
Isaak Phillips,2,-0.003052169063669283
Isac Lundeström,37,0.007653591054159371
Isaiah George,2,0.026837249085121348
Isak Rosen,16,0.010075654690157455
Ivan Barbashev,84,0.002034783253346799
Ivan Demidov,57,-0.004316311466394845
Ivan Ivan,3,0.011605396887368875
Ivan Miroshnichenko,5,-0.03647618000760745
Ivan Provorov,102,0.005680040351706034
J.J. Moser,67,0.0038561594378335737
J.T. Compher,40,0.0005575283224431042
J.T. Miller,66,-0.007661865271683023
JJ Peterka,76,0.0027200570412624523
Jaccob Slavin,29,0.008489233641247072
Jack Ahcan,6,0.012776142524017082
Jack Devine,2,0.0009691011420146362
Jack Drury,37,0.011120298713842385
Jack Eichel,96,-0.005895603896274834
Jack Finley,11,0.018704234589360838
Jack Hughes,98,0.002898703880301754
Jack McBain,48,0.007640596780044913
Jack Quinn,64,-0.0006564853795149396
Jack Roslovic,59,0.00035379818520650926
Jack St. Ivany,22,-0.025891169172965987
Jack Studnicka,4,0.011821218801720892
Jackson Blake,78,-3.0892879143500696e-05
Jackson LaCombe,94,0.011606116564517701
Jacob Bernard-Docker,40,0.0006707855159317702
Jacob Bryson,17,-0.0032329703607072253
Jacob Gaucher,3,0.00891970475400939
Jacob Melanson,15,0.0008808401009411153
Jacob Moverare,6,-0.03610566954447856
Jacob Quillan,12,0.010633485336305456
Jacob Trouba,78,0.006879873844132017
Jaden Schwartz,43,-0.0006163350356306544
Jake Bean,15,0.012341375878427933
Jake Christiansen,13,-0.0006647321351099661
Jake DeBrusk,41,-0.008821680396035045
Jake Evans,43,0.005226916019452984
Jake Guentzel,51,0.0011475014385520209
Jake Livanavage,1,0.004051117424769032
Jake McCabe,76,-0.008309259953731158
Jake Middleton,43,0.0021569414595342504
Jake Neighbours,38,-0.009595363789035779
Jake Sanderson,65,0.006247533299467503
Jake Walman,58,0.000972206774927618
Jakob Chychrun,90,0.004660105234604692
Jakob Pelletier,4,-0.036711192286381845
Jalen Chatfield,62,0.0065418383644378604
James Hagens,3,0.011852505534402771
James van Riemsdyk,34,-0.014925418531810494
Jamie Benn,31,-0.02164719918780302
Jamie Drysdale,45,0.00846785832741859
Jamie Oleksiak,65,0.0028177614611899723
Jani Nyman,13,0.008384410689624859
Jansen Harkins,27,0.0006698439269923567
Jared Davidson,5,0.002624606438679562
Jared McCann,49,4.7594341571903634e-05
Jared Spurgeon,52,0.00992934950704804
Jared Wright,7,0.005773455549711864
Jaroslav Chmelar,4,-0.0037747168004214036
Jason Dickinson,37,0.008043379573116604
Jason Robertson,91,0.006292869854842862
Jason Zucker,58,0.004154165903589295
Jaycob Megna,2,0.007104826122597519
Jayden Struble,47,-0.008756815755902751
Jean-Gabriel Pageau,44,-0.011750976791860414
Jeff Malott,18,0.0023985028286988563
Jeff Petry,51,-0.002192362981693366
Jeff Skinner,24,0.008593855283996747
Jeffrey Viel,28,0.005533112930592823
Jeremy Lauzon,45,-0.0036365401680645876
Jesper Boqvist,53,0.0033899139065848324
Jesper Bratt,77,0.006197521730669659
Jesperi Kotkaniemi,31,0.0033798543417164527
Jett Luchanko,1,-0.1390011744909107
Jimmy Snuggerud,52,-0.002008528925280812
Jiri Kulich,9,0.014341319611291968
Joakim Kemell,5,0.009135650675840457
Joe Veleno,19,-0.015669270974805
Joel Armia,42,0.00602451707966286
Joel Edmundson,72,-0.005221026635007421
Joel Eriksson Ek,28,-0.002964060534217722
Joel Farabee,61,0.007193457591141994
Joel Hanley,53,0.003790339020938636
Joel Kiviranta,16,0.00901524264867372
